Category,Case Number,Crime Date and Time,Report Date,Incident Description,Residential Occurance,Disposition,Location,Lat,Lon
Disorderly Conduct,20133504,12/28/2013 - 1:49am,12/28/13,"DISORDERLY CONDUCT 2ND/M, POSS OF OPEN ALC BEVERAGE CONT IN MOTOR VEH PROHIBITED",No,Cleared By Arrest,NICHOLASVILLE RD & FARM RD,38.026594,-84.511209
DUI,20133276,12/04/2013 - 2:49am,12/4/13,OPER MTR VEHICLE U/INFLUENCE ALC/DRUGS/ETC .08 1ST/M,No,Cleared By Arrest,NICHOLASVILLE RD & FARM RD,38.026594,-84.511209
Drug Violations,20133227,11/27/2013 - 12:28am,11/27/13,"POSS OF MARIJUANA/M, DRUG PARAPHERNALIA-BUY/POSSESS/M, PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL, UNLAWFUL TRANSACTION W/MINOR 3RD/M, FAILURE TO ILLUMINATE HEADLAMPS, INSTRUCTIONAL PERMIT VIOLATIONS, POSS OF OPEN ALC BEVERAGE CONT IN MOTOR VEHICLE PROHIBITED, FLEEING/EVADING POLICE 2ND (ON FOOT)/M, TBUT OR DISP ALL OTHERS U/$500/M",No,Citation issued,NICHOLASVILLE RD & FARM RD,38.026594,-84.511209
Alcohol Intoxication,20132831,10/13/2013 - 5:55am,10/13/13,ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSE),No,Cleared By Arrest,NICHOLASVILLE RD & FARM RD,38.026594,-84.511209
Alcohol Intoxication,2013155121,09/28/2013 - 7:40pm,10/1/13,"ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSE), DISORDERLY CONDUCT 2ND/M, RESISTING ARREST/M",No,Closed - Lexington Police Report,NICHOLASVILLE RD & FARM RD,38.026594,-84.511209
DUI,20132527,09/21/2013 - 1:36am,9/21/13,OPER MTR VEHICLE U/INFLU ALC/DRUGS/ETC .08 (AGG CIRCUM) 1ST/M,No,Cleared By Arrest,NICHOLASVILLE RD & FARM RD,38.026594,-84.511209
DUI,20131881,07/14/2013 - 4:02am,7/14/13,"OPER MTR VEHICLE U/INFLU ALC/DRUGS/ETC .08 (AGG CIRCUM) 1ST/M, FAILURE TO ILLUMINATE HEAD LAMPS",No,Cleared By Arrest,FARM RD & NICHOLASVILLE RD,38.026594,-84.511209
DUI,20131217,04/27/2013 - 3:22am,4/27/13,"OPER MTR VEHICLE U/INFLU ALC/DRUGS/ETC .08 (AGG CIRCUM) 1ST/M, OPERATING VEHICLE WITH EXPIRED OPERATORS LICENSE/M",No,Cleared By Arrest,NICHOLASVILLE RD & FARM RD,38.026594,-84.511209
DUI,20131023,04/11/2013 - 1:56am,4/11/13,"OPERATING MOTOR VEHICLE UNDER INFLUENCE ALCOHOL/DRUGS/ETC .08 (AGG CIRCUM) 2ND/M, SPEEDING 14 MPH OVER LIMIT, NO REGISTRATION PLATES",No,Cleared By Arrest,NICHOLASVILLE RD & FARM RD,38.026594,-84.511209
DUI,20130721,03/12/2013 - 1:45am,3/12/13,OPERATING MOTOR VEHICLE UNDER INFLUENCE ALCOHOL/DRUG/ETC .08 (AGG CIRCUMSTANCES) 2ND/M,No,Cleared By Arrest,NICHOLASVILLE RD & FARM RD,38.026594,-84.511209
Drug Violations,20143297,11/27/2014 - 8:48pm,11/27/14,"POSS OF MARIJUANA/M, IMPROPER TURNING, OPERATING ON SUS ON REV OPER LICENSE/M",No,Citation issued,NICHOLASVILLE RD & FARM RD,38.026594,-84.511209
DUI,20143139,11/11/2014 - 12:15am,11/11/14,"OPER MTR VEHICLE U/INFLUENCE ALC/DRUGS/ETC .08 - 1ST OFF/M, POSS OF MARIJUANA/M, POSS OF OPEN ALC BEVERAGE CONT IN MOTOR VEH PROHIBITED, DRUG PARAPHERNALIA - BUY/POSSESS/M",No,Cleared By Arrest,NICHOLASVILLE RD & FARM RD,38.026594,-84.511209
All Other Offenses,20142141,08/10/2014 - 11:08pm,8/10/14,"FAILURE TO ILLUMINATE HEAD LAMPS, FAILURE TO PRODUCE INSURANCE CARD, DRIVING ON DUI SUSPENDED LICENSE 1ST OFFENSE/M",No,Cleared By Arrest,NICHOLASVILLE RD & FARM RD,38.026594,-84.511209
Alcohol Intoxication,20152149,09/19/2015 - 3:09am,9/19/15,ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSES),No,Cleared By Arrest,NICHOLASVILLE RD & FARM RD,38.026594,-84.511209
DUI,20150754,03/29/2015 - 2:54am,3/29/15,"OPER MTR VEH U/INFLU ALC/DRUGS/ETC .08 (AGG CIRCUM) 2ND/M, IMPROPER TURNING, CARELESS DRIVING",No,Cleared By Arrest,NICHOLASVILLE RD & FARM RD,38.026594,-84.511209
DUI,20150577,03/05/2015 - 8:35pm,3/5/15,"FAILURE TO ILLUMINATE HEAD LAMPS, OPER MTR VEHICLE U/INFLU ALC/DRUGS/ETC .08 (AGG CIRCUM) 1ST OFF/M",No,Cleared By Arrest,NICHOLASVILLE RD & FARM RD,38.026594,-84.511209
Drug Violations,20150301,02/04/2015 - 1:58am,2/4/15,POSS OF MARIJUANA/M,No,Citation issued,NICHOLASVILLE RD & FARM RD,38.026594,-84.511209
Drug Violations,20150240,01/29/2015 - 1:01am,1/29/15,POSS OF MARIJUANA/M,No,Citation issued,NICHOLASVILLE RD & FARM RD,38.026594,-84.511209
DUI,20150016,01/03/2015 - 12:32am,1/3/15,OPER MTR VEHICLE U/INFLU ALC/DRUGS/ETC .08 (AGG CIRCUM) 1ST OFF/M,No,Cleared By Arrest,NICHOLASVILLE RD & FARM RD,38.026594,-84.511209
Theft,20133258,11/13/2013 - 2:00pm,12/2/13,TBUT OR DISP OF BICYCLE U/$500/M,No,Closed,UNIVERSITY DR,38.026936,-84.505972
All Other Offenses,20131871,07/13/2013 - 9:00am,7/13/13,MENACING/M,No,Closed,UNIVERSITY DR,38.026936,-84.505972
All Other Offenses,20131063,04/15/2013 - 10:45pm,4/15/13,DRIVING ON DUI SUSPENDED LICENSE -1ST OFFENSE,No,Citation issued,University Drive,38.026936,-84.505972
DUI,20130615,02/28/2013 - 3:20am,2/28/13,OPER MTR VEHICLE U/INFLU ALC/DRUGS/ETC..08 (AGG CIRCUM)/M,No,Cleared By Arrest,UNIVERSITY DRIVE,38.026936,-84.505972
Criminal Mischief,20130477,02/13/2013 - 11:00pm,2/14/13,CRIMINAL MISCHIEF 3RD/M,No,Closed,University Drive,38.026936,-84.505972
Assault,20130478,02/13/2013 - 11:00pm,2/14/13,ASSAULT 4TH (MINOR INJURY)/M,No,Closed,UNIVERSITY DRIVE,38.026936,-84.505972
DUI,20130229,01/21/2013 - 6:00pm,1/21/13,OPER MTR VEHICLE U/INFLU ALC/DRUGS/ETC..08/M; FAILURE TO PRODUCE INSURANCE CARD,No,Cleared By Arrest,UNIVERSITY DRIVE,38.026936,-84.505972
Theft,20143349,12/03/2014 - 3:00am,12/4/14,"Tbut or Disp All Others $500 or more but u/$10,000/f",No,Open,University Dr,38.026936,-84.505972
Theft,20140328,12/10/2013 - 5:00pm,2/7/14,"TBUT OR DISP CONTENTS FROM VEHICLE UNDER $500/M, THEFT OF IDENTITY OF ANOTHER W/O CONSENT/F",No,Open,UNIVERSITY DR,38.026936,-84.505972
Drug Violations,20152865,12/10/2015 - 1:29am,12/10/15,"DRUG PARAPHERNALIA - BUY/POSSESS/M X2, DIREGARDING TRAFFIC CONT DEV-TRAFFIC LIGHT, POSS OF MARIJUANA/M",No,Citation issued,UNIVERSITY DR,38.026936,-84.505972
Theft,20152376,10/14/2015 - 12:00am,10/14/15,THEFT OF PROP MISLAID OR DELIVER BY MISTAKE/M,No,Closed,UNIVERSITY DR,38.026936,-84.505972
Harassment,20151912,08/27/2015 - 9:55pm,8/28/15,HARASSMENT (NO PHYSICAL CONTACT),No,Open,UNIVERSITY DR,38.026936,-84.505972
Criminal Mischief,20151153,05/19/2015 - 2:00am,5/19/15,CRIMINAL MISCHIEF 3RD/M,No,Closed,UNIVERSITY DR,38.026936,-84.505972
Theft,20150141,01/17/2015 - 1:15am,1/17/15,THEFT OF PROP MISLAID OR DELIVER BY MISTAKE/M,No,Open,UNIVERSITY DR,38.026936,-84.505972
Criminal Mischief,2012167405,10/14/2012 - 12:00am,8/12/13,CRIMINAL MISCHIEF 3RD/M,No,Closed - Lexington Police Report,1410 AUDUBON AVE,38.027001,-84.511999
Burglary,2013161938,10/04/2012 - 3:00am,8/12/13,BURGLARY 2ND/F,Yes,Closed - Lexington Police Report,1410 AUDUBON AVE,38.027001,-84.511999
Burglary,2013023140,02/16/2013 - 3:00am,2/18/13,"BURGLARY 2ND/F, CRIMINAL MISCHIEF 3RD/M",No,Closed - Lexington Police Report,1410 AUDUBON AVE,38.027001,-84.511999
Criminal Mischief,2014071867,05/03/2014 - 2:30am,5/5/14,"CRIMINAL MISCHIEF 3RD/M, CRIMINAL MISCHIEF 2ND/M",No,Closed - Lexington Police Report,1410 AUDUBON AVE,38.027001,-84.511999
Criminal Mischief,2014076712,05/11/2014 - 2:30am,7/9/15,CRIMINAL MISCHIEF 2ND/M,Yes,Closed - Lexington Police Report,1410 AUDUBON AVE,38.027001,-84.511999
Criminal Mischief,2014079126,05/15/2014 - 4:00pm,7/9/15,CRIMINAL MISCHIEF 3RD/M,No,Closed - Lexington Police Report,1410 AUDUBON AVE,38.027001,-84.511999
Harassing Communications,20133430,12/17/2013 - 5:00pm,12/17/13,HARASSING COMMUNICATIONS/M,No,Closed,705 SPORTS CENTER DR,38.027044,-84.500178
Theft,20133370,11/29/2013 - 1:45pm,12/12/13,"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F",No,Closed,720 SPORTS CENTER DR,38.027044,-84.500178
Theft,20133343,12/09/2013 - 7:00pm,12/9/13,TBUT OR DISP CONTENTS FROM VEHICLE UNDER $500/M,No,Open,721 SPORTS CENTER DR,38.027044,-84.500178
All Other Offenses,20133312,12/06/2013 - 11:55pm,12/6/13,INDECENT EXPOSURE 2ND/M,No,Closed,701 SPORTS CENTER DR,38.027044,-84.500178
Drug Violations,20133189,11/23/2013 - 12:05am,11/23/13,"POSS OF MARIJUANA/M, DRUG PARAPHERNALIA - BUY/POSSESS/M",Yes,Citation issued,705 SPORTS CENTER DR,38.027044,-84.500178
Drug Violations,20133125,11/15/2013 - 11:44pm,11/15/13,"POSS OF MARIJUANA/M, DRUG PARAPHERNALIA - BUY/POSSESS/M, PERSON <18 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL",Yes,Closed - Disciplinary Referral,708 SPORTS CENTER DR,38.027044,-84.500178
Drug Violations,201347895,11/05/2013 - 3:53pm,11/5/13,DRUG RELATED ACTIVITY,No,Closed - Disciplinary Referral,705 SPORTS CENTER DR,38.027044,-84.500178
Theft,20132982,10/30/2013 - 8:35am,10/30/13,THEFT OF PROP MISLAID OR DELIVER BY MISTAKE/M,No,Open,1401 SPORTS CENTER DR,38.027044,-84.500178
Theft,20132968,10/24/2013 - 5:00pm,10/28/13,TBUT OR DISP CONTENTS FROM VEHICLE UNDER $500/M,No,Open,705 SPORTS CENTER DR,38.027044,-84.500178
Drug Violations,20132973,10/28/2013 - 7:03pm,10/28/13,DRUG PARAPHERNALIA - BUY/POSSES/M. POSS OF MARIJUANA/M,No,Closed - Disciplinary Referral,705 SPORTS CENTER DR,38.027044,-84.500178
Theft,20132864,09/28/2013 - 7:00am,10/16/13,TBUT OR DISP ALL OTHERS/M,No,Open,720 SPORTS CENTER DR,38.027044,-84.500178
Alcohol Intoxication,20132821,10/12/2013 - 7:21pm,10/12/13,ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSE),No,Cleared By Arrest,1401 SPORTS CENTER DR,38.027044,-84.500178
Theft,20131965,07/23/2013 - 5:10pm,7/24/13,TBUT OR DISP BICYCLES/M,No,Open,705 SPORTS CENTER DR,38.027044,-84.500178
Theft,20131967,07/23/2013 - 4:00pm,7/24/13,TBUT OR DISP BUILDING/M,No,Unfounded,720 SPORTS CENTER DR,38.027044,-84.500178
Theft,20131510,05/17/2013 - 4:00pm,5/28/13,TBUT OR DISP - AUTO/M,No,Closed,720 SPORTS CENTER DR,38.027044,-84.500178
Burglary,20131250,04/22/2013 - 12:00am,4/30/13,BURGLARY/F,Yes,Open,701 SPORTS CENTER DR,38.027044,-84.500178
Burglary,20131251,04/30/2013 - 1:45pm,4/30/13,BURGLARY/F,Yes,Closed,705 SPORTS CENTER DR,38.027044,-84.500178
Theft,20131243,04/29/2013 - 8:50pm,4/29/13,TBUT/F,No,Open,701 SPORTS CENTER DR,38.027044,-84.500178
Theft,20131058,04/13/2013 - 12:00pm,4/14/13,"TBUT OR DISP FROM AUTO/M, CRIMINAL MISCHIEF 3RD/M",No,Closed,705 SPORTS CENTER DR,38.027044,-84.500178
Alcohol Intoxication,201321291,04/13/2013 - 10:30pm,4/13/13,ALCOHOL INTOXICATION,No,Closed - Disciplinary Referral,705 SPORTS CENTER DR,38.027044,-84.500178
Theft,20131002,04/04/2013 - 5:00pm,4/8/13,"TBUT OR DISP BUILDING/M, FRAUD USE CREDIT CARD UNDER $500 WITHIN 6 MONTH PERIOD/M",No,Open,1401 SPORTS CENTER DR,38.027044,-84.500178
Criminal Mischief,20130653,03/04/2013 - 12:00am,3/4/13,CRIMINAL MISCHIEF 3RD/M,No,Open,705 SPORTS CENTER DR,38.027044,-84.500178
Liquor Law Violation,CSA20141748,12/12/2014 - 10:39pm,12/15/14,PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL X3,Yes,Closed - Disciplinary Referral,701 SPORTS CENTER DR,38.027044,-84.500178
Liquor Law Violation,CSA20141749,12/12/2014 - 11:50pm,12/15/14,PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL X8,Yes,Closed - Disciplinary Referral,701 SPORTS CENTER DR,38.027044,-84.500178
Liquor Law Violation,CSA20141730,12/06/2014 - 11:30pm,12/11/14,PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL X7,Yes,Closed - Disciplinary Referral,701 SPORTS CENTER DR,38.027044,-84.500178
Disorderly Conduct,20143390,12/07/2014 - 1:04am,12/7/14,DISORDERLY CONDUCT 2ND/M,Yes,Citation issued,701 SPORTS CENTER DR,38.027044,-84.500178
All Other Offenses,20143186,11/14/2014 - 11:45pm,11/15/14,DISPLAY/POSSESSION OF A FICTIOUS OPERATOR LICENSE,Yes,Open,705 SPORTS CENTER DR,38.027044,-84.500178
Drug Violations,20143063,11/02/2014 - 10:45pm,11/2/14,"POSS OF MARIJUANA/M X2, DRUG PARAPHERNALIA - BUY/POSSES/M X2",Yes,Citation issued,705 SPORTS CENTER DR,38.027044,-84.500178
Drug Violations,20143014,10/30/2014 - 12:12am,10/30/14,DRUG PARAPHERNALIA - BUY/POSSESS/M,Yes,Closed - Disciplinary Referral,705 SPORTS CENTER DR,38.027044,-84.500178
Harassment,20142953,10/23/2014 - 5:40pm,10/24/14,HARASSMENT (NO PHYSICAL CONTACT),Yes,Open,701 SPORTS CENTER DR,38.027044,-84.500178
Drug Violations,20142637,09/25/2014 - 8:37pm,9/25/14,POSS OF MARIJUANA/M,No,Closed,720 SPORTS CENTER DR,38.027044,-84.500178
Criminal Mischief,CSA20141363,09/06/2014 - 5:10pm,9/17/14,Criminal Mischief 3rd/m,No,Closed - CSA,701 Sports Center Dr,38.027044,-84.500178
Alcohol Intoxication,201429570,09/13/2014 - 3:05am,9/13/14,Alcohol Intoxication/v,No,Closed - Disciplinary Referral,701 Sports Center Dr,38.027044,-84.500178
Liquor Law Violation,CSA20141803,01/18/2014 - 2:05am,7/18/14,PERSON 18-20 POSS/PURCH/ ATT PURCH/HAVE ANOTHER PURCH ALCOHOL X7,Yes,Closed - Disciplinary Referral,705 SPORTS CENTER DR,38.027044,-84.500178
Theft,20141554,12/14/2013 - 12:00am,6/10/14,"Tbut or Disp from Building $500 or more but U/$10,000/F",No,Closed,1401 Sports Center Dr,38.027044,-84.500178
Motor Vehicle Theft,20141236,05/07/2014 - 10:00pm,5/8/14,"TBUT OR DISP AUTO - $10,000 OR MORE BUT U/$1,000,000/F",No,Open,720 SPORTS CENTER DR,38.027044,-84.500178
Criminal Mischief,20141087,04/20/2014 - 3:00pm,4/26/14,CRIMINAL MISCHIEF 3RD/M,No,Closed,701 SPORTS CENTER DR,38.027044,-84.500178
Theft,20141036,03/24/2014 - 12:00am,4/21/14,THEFT BY FAILURE TO MAKE REQUIRED DISPOSITION OF PROPERTY/F,Yes,Open,705 SPORTS CENTER DR,38.027044,-84.500178
Liquor Law Violation,CSA20140387,03/29/2014 - 8:45pm,4/8/14,PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL X7,Yes,Closed - Disciplinary Referral,701 SPORTS CENTER DR,38.027044,-84.500178
Criminal Mischief,20140637,03/12/2014 - 1:05am,3/12/14,CRIMINAL MISCHIEF 3RD DEGREE,Yes,Closed - Disciplinary Referral,701 SPORTS CENTER DR,38.027044,-84.500178
Theft,20140573,03/03/2014 - 8:00am,3/7/14,"TBUT OR DISP BICYCLES $500 OR MORE BUT U/$10,000/F",No,Open,705 SPORTS CENTER DR,38.027044,-84.500178
Alcohol Intoxication,201405360,02/21/2014 - 2:15am,2/21/14,ALCOHOL INTOXICATION IN A PUBLIC PLACE,Yes,Closed - Disciplinary Referral,701 SPORTS CENTER DR,38.027044,-84.500178
Theft,20140424,02/13/2014 - 9:00am,2/18/14,"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F",No,Open,720 SPORTS CENTER DR,38.027044,-84.500178
Liquor Law Violation,CSA20140113,01/24/2014 - 10:05pm,1/30/14,PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL X2,Yes,Closed - Disciplinary Referral,701 SPORTS CENTER DR,38.027044,-84.500178
Drug Violations,20140149,01/19/2014 - 11:00pm,1/19/14,"POSS OF MARIJUANA/M, DRUG PARAPHERNALIA - BUY/POSSESS/M",Yes,Closed - Disciplinary Referral,701 SPORTS CENTER DR,38.027044,-84.500178
Drug Violations,20152929,12/19/2015 - 11:12am,12/19/15,"POSS OF MARIJUANA/M, DRUG PARAPHERNALIA - BUY/POSSESS/M",Yes,Citation issued,685 SPORTS CENTER DR,38.027044,-84.500178
Liquor Law Violation,CSA20151235,12/13/2015 - 12:30pm,12/13/15,PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL,Yes,Closed - CSA,685 SPORTS CENTER DR,38.027044,-84.500178
Liquor Law Violation,CSA20151233,12/12/2015 - 2:50am,12/12/15,PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL,Yes,Closed - CSA,685 SPORTS CENTER DR,38.027044,-84.500178
Drug Violations,20152854,12/08/2015 - 12:21am,12/8/15,"POSS OF MARIJUANA/M, DRUG PARAPHERNALIA - BUY/POSSESS/M",Yes,Closed - Disciplinary Referral,703 SPORTS CENTER DR,38.027044,-84.500178
Liquor Law Violation,CSA20151215,12/04/2015 - 12:05am,12/4/15,PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL X4,Yes,Closed - Disciplinary Referral,703 SPORTS CENTER DR,38.027044,-84.500178
Liquor Law Violation,CSA20151217,12/04/2015 - 10:42am,12/4/15,PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL X4,Yes,Closed - Disciplinary Referral,701 SPORTS CENTER DR,38.027044,-84.500178
Theft,CSA20151203,12/03/2015 - 8:00am,12/3/15,TBUT OR DISP BICYCLES,Yes,Closed - CSA,693 SPORTS CENTER DR,38.027044,-84.500178
Drug Violations,20152789,11/29/2015 - 7:10pm,11/29/15,DRUG PARAPHERNALIA - BUY/POSSESS/M,Yes,Closed - Disciplinary Referral,685 SPORTS CENTER DR,38.027044,-84.500178
Liquor Law Violation,CSA20151168,11/18/2015 - 7:00pm,11/18/15,PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL,Yes,Closed - CSA,693 SPORTS CENTER DR,38.027044,-84.500178
Liquor Law Violation,CSA20151155,11/14/2015 - 10:20pm,11/14/15,PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL X6,Yes,Closed - CSA,685 SPORTS CENTER DR,38.027044,-84.500178
Liquor Law Violation,CSA20151154,11/13/2015 - 10:30pm,11/13/15,PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL X4,Yes,Closed - CSA,685 SPORTS CENTER DR,38.027044,-84.500178
Drug Violations,20152629,11/08/2015 - 2:20am,11/8/15,POSS OF MARIJUANA/M,Yes,Closed - Disciplinary Referral,693 SPORTS CENTER DR,38.027044,-84.500178
Drug Violations,20152611,11/05/2015 - 7:45pm,11/5/15,"POSSESSION OF MARIJUANA/M, DRUG PARAPHERNALIA - BUY/POSSESS/M",Yes,Citation issued,693 SPORTS CENTER DR,38.027044,-84.500178
Liquor Law Violation,CSA20151137,11/04/2015 - 10:30pm,11/4/15,PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL X4,Yes,Closed - CSA,701 SPORTS CENTER DR,38.027044,-84.500178
Drug Violations,20152573,11/02/2015 - 12:35am,11/2/15,"POSS OF MARIJUANA/M, DRUG PARAPHERNALIA - BUY/POSSESS/M",Yes,Closed - Disciplinary Referral,685 SPORTS CENTER DR,38.027044,-84.500178
Sex Offenses,20152569,11/01/2015 - 1:47am,11/1/15,SEXUAL MISCONDUCT,Yes,Open,693 SPORTS CENTER DR,38.027044,-84.500178
Liquor Law Violation,CSA20151103,10/28/2015 - 10:00pm,10/29/15,PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL x2,Yes,Closed - Disciplinary Referral,685 SPORTS CENTER DR,38.027044,-84.500178
Terroristic Threatening,20152497,10/26/2015 - 6:10pm,10/26/15,TERRORISTIC THREATENING- 3RD DEGREE/M,Yes,Open,701 SPORTS CENTER DR,38.027044,-84.500178
Liquor Law Violation,CSA20151089,10/23/2015 - 12:00am,10/23/15,PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL x2,Yes,Closed - CSA,693 SPORTS CENTER DR,38.027044,-84.500178
Liquor Law Violation,CSA20151073,10/22/2015 - 10:15pm,10/22/15,PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL X5,Yes,Closed - Disciplinary Referral,693 SPORTS CENTER DR,38.027044,-84.500178
Theft,20152335,09/19/2015 - 6:00pm,10/18/15,"TBUT OR DISP BICYCLES U/$500/M, CRIMINAL MISCHIEF 3RD/M",No,Closed,1401 SPORTS CENTER DR,38.027044,-84.500178
Drug Violations,20152402,10/16/2015 - 11:59pm,10/16/15,"POSS OF MARIJUANA/M, DRUG PARAPHERNALIA - BUY/POSSESS/M",Yes,Citation issued,685 SPORTS CENTER DR,38.027044,-84.500178
Liquor Law Violation,CSA20151019,10/10/2015 - 10:35pm,10/12/15,PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL X3,Yes,Closed - Disciplinary Referral,685 SPORTS CENTER DR,38.027044,-84.500178
Alcohol Intoxication,20152342,10/09/2015 - 9:50pm,10/9/15,ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSES),Yes,Cleared By Arrest,685 SPORTS CENTER DR,38.027044,-84.500178
Harassing Communications,2015172716,10/06/2015 - 1:11pm,10/8/15,HARASSING COMMUNICATIONS/M,Yes,Closed - Lexington Police Report,701 SPORTS CENTER DR,38.027044,-84.500178
Liquor Law Violation,CSA20150976,09/11/2015 - 10:00pm,10/7/15,PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL X11,Yes,Closed - Disciplinary Referral,685 SPORTS CENTER DR,38.027044,-84.500178
Liquor Law Violation,CSA20150978,09/11/2015 - 10:40pm,10/7/15,PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL X2,Yes,Closed - Disciplinary Referral,685 SPORTS CENTER DR,38.027044,-84.500178
Liquor Law Violation,CSA20150979,09/13/2015 - 12:16am,10/7/15,PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL X2,Yes,Closed - Disciplinary Referral,685 SPORTS CENTER DR,38.027044,-84.500178
Liquor Law Violation,CSA20150987,09/19/2015 - 12:49pm,10/7/15,PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL X3,Yes,Closed - Disciplinary Referral,705 SPORTS CENTER DR,38.027044,-84.500178
Criminal Mischief,CSA20150988,09/19/2015 - 8:28pm,10/7/15,CRIMINAL MISCHIEF,Yes,Closed - CSA,705 SPORTS CENTER DR,38.027044,-84.500178
Criminal Mischief,CSA20150989,09/02/2015 - 1:50am,10/7/15,CRIMINAL MISCHIEF,Yes,Closed - CSA,685 SPORTS CENTER DR,38.027044,-84.500178
Liquor Law Violation,CSA20150990,09/25/2015 - 12:15am,10/7/15,PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL X5,Yes,Closed - Disciplinary Referral,685 SPORTS CENTER DR,38.027044,-84.500178
Liquor Law Violation,CSA20150992,09/25/2015 - 10:18pm,10/7/15,PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL X4,Yes,Closed - Disciplinary Referral,685 SPORTS CENTER DR,38.027044,-84.500178
Liquor Law Violation,CSA20150995,09/28/2015 - 1:48pm,10/7/15,PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL X2,Yes,Closed - Disciplinary Referral,705 SPORTS CENTER DR,38.027044,-84.500178
Liquor Law Violation,CSA20150996,09/30/2015 - 3:10am,10/7/15,PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL X6,Yes,Closed - Disciplinary Referral,685 SPORTS CENTER DR,38.027044,-84.500178
Theft,CSA20150997,09/29/2015 - 9:50pm,10/7/15,TBUT OR DISP FROM BUILDING,Yes,Closed - Disciplinary Referral,705 SPORTS CENTER DR,38.027044,-84.500178
Liquor Law Violation,CSA20150998,10/03/2015 - 12:36am,10/7/15,PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL,Yes,Closed - Disciplinary Referral,701 SPORTS CENTER DR,38.027044,-84.500178
Motor Vehicle Theft,20152309,10/06/2015 - 1:33am,10/6/15,"TBUT OR DISP AUTO - $500 OR MORE BUT U/$10,000/F",No,Open,685 SPORTS CENTER DR,38.027044,-84.500178
DUI,20152167,09/26/2015 - 2:20am,9/26/15,OPER MOTOR VEHICLE U/INFLU ALCOHOL < 21 YOA,No,Citation issued,685 SPORTS CENTER DR,38.027044,-84.500178
Criminal Mischief,20152177,09/04/2015 - 3:00pm,9/21/15,CRIMINAL MISCHIEF 3RD/M,No,Closed,721 SPORTS CENTER DR,38.027044,-84.500178
Harassing Communications,20152142,04/01/2015 - 8:00am,9/18/15,HARASSING COMMUNICATIONS/M,Yes,Closed,685 SPORTS CENTER DR,38.027044,-84.500178
Drug Violations,20152136,09/17/2015 - 11:58pm,9/17/15,DRUG PARAPHERNALIA - BUY/POSSESS/M,Yes,Closed - Disciplinary Referral,703 SPORTS CENTER DR,38.027044,-84.500178
