Category,Case Number,Crime Date and Time,Report Date,Incident Description,Residential Occurance,Disposition,Location,Lat V Lookup,Lon V Lookup,lat,lon
Liquor Law Violation,CSA20141444,09/27/2014 - 10:20pm,9/29/2014,Person 18-20 Poss Alcohol/v X7,No,Closed - CSA,758 Woodland Ave,38.029441,-84.502532,38.029441,-84.502532
Assault,CSA20141446,09/29/2014 - 11:15am,9/29/2014,Assault 4th/m,No,Closed - CSA,1350 Bull Lea Road,#N/A,#N/A,#N/A,#N/A
Theft,20142671,09/28/2014 - 9:30pm,9/29/2014,Tbut or Disp from building u/$500/m,No,Unfounded,310 South Limestone Rd,#N/A,#N/A,#N/A,#N/A
Theft,20142672,09/19/2014 - 12:01am,9/29/2014,"Tbut or Disp From Building $500 or more but u/$10,000/f",No,Closed,829 Press Avenue,#N/A,#N/A,#N/A,#N/A
Theft,20142673,09/28/2014 - 10:40pm,9/29/2014,"Tbut or Disp all others $500 or more but u/$10,000/f",No,Closed,829 Press Avenue,#N/A,#N/A,#N/A,#N/A
Theft,20142674,09/28/2014 - 9:00pm,9/29/2014,"Tbut or Disp all others $500 or more but U/$10,000/f",No,Closed,401 Hilltop Ave,38.032903,-84.501733,38.032903,-84.501733
Criminal Mischief,20142677,09/29/2014 - 11:40pm,9/29/2014,"Criminal Mischief 1st/F, Assault 4th (minor injury)/M",No,Open,310 South Limestone Rd,#N/A,#N/A,#N/A,#N/A
Assault,CSA20141451,09/29/2014 - 7:30pm,9/29/2014,Assault 4th/m,No,Closed - CSA,1350 Bull Lea Road,#N/A,#N/A,#N/A,#N/A
Assault,CSA20141452,09/29/2014 - 5:05pm,9/29/2014,Assault 4th/m,No,Closed - CSA,1350 Bull Lea Road,#N/A,#N/A,#N/A,#N/A
Robbery,2014165098,09/29/2014 - 11:10pm,9/29/2014,Robbery 1st/f,No,Closed - Lexington Police Report,271 East Maxwell ST,38.040056,-84.497099,38.040056,-84.497099
Sex Offenses,2014164101,09/28/2014 - 1:00am,9/29/2014,RAPE 2ND DEGREE (MENTALLY INCAPACITATED BY INTOX SUBSTANCE)/F,No,Closed - Lexington Police Report,1030 SOUTH BROADWAY,#N/A,#N/A,#N/A,#N/A
Alcohol Intoxication,20142658,09/28/2014 - 12:53am,9/28/2014,Alcohol Intox in a Public Place (1st & 2nd offense/v,No,Cleared By Arrest,102 Avenue of Champions,38.04147,-84.503826,38.041470,-84.503826
Alcohol Intoxication,20142660,09/28/2014 - 1:45am,9/28/2014,Alcohol Intox in a Public Place (1st & 2nd offense/v,No,Cleared By Arrest,110 Transcript Ave,38.031633,-84.509949,38.031633,-84.509949
Theft,20142662,09/27/2014 - 9:00am,9/28/2014,"Tbut or disp Contents from Vehicle $500 or more but u/$10,000/f",No,Open,301 Hilltop Ave,38.033407,-84.50395,38.033407,-84.503950
Alcohol Intoxication,201431276,09/28/2014 - 1:00am,9/28/2014,Alcohol Intoxication/v,No,Closed - Disciplinary Referral,769 Woodland Ave,38.03108,-84.500905,38.031080,-84.500905
Alcohol Intoxication,201431288,09/28/2014 - 2:33am,9/28/2014,Drinking in Public Place/v,No,Closed,110 Transcript Ave,38.031633,-84.509949,38.031633,-84.509949
Assault,CSA20141425,09/28/2014 - 7:38pm,9/28/2014,Assault 4th/m,No,Closed - CSA,1350 Bull Lea Road,#N/A,#N/A,#N/A,#N/A
Assault,CSA20141426,09/28/2014 - 5:20am,9/28/2014,Assault 4th/m,No,Closed - CSA,1350 Bull Lea Road,#N/A,#N/A,#N/A,#N/A
Terroristic Threatening,CSA20141427,09/28/2014 - 1:41am,9/28/2014,Terroristic Threatening 3rd/m,No,Closed - CSA,1350 Bull Lea Road,#N/A,#N/A,#N/A,#N/A
Assault,CSA20141428,09/28/2014 - 1:40am,9/28/2014,Assault 4th/m,No,Closed - CSA,1350 Bull Lea Road,#N/A,#N/A,#N/A,#N/A
Disorderly Conduct,20142682,09/28/2014 - 9:25pm,9/28/2014,Disorderly Conduct 2nd degree/m X4.,No,Citation issued,756 Woodland Ave,38.03106,-84.500878,38.031060,-84.500878
Assault,20142648,09/27/2014 - 12:11am,9/27/2014,Assault 4th degree (minor injury)/m,No,Closed,1000 South Limestone,#N/A,#N/A,#N/A,#N/A
Assault,20142650,09/27/2014 - 4:54am,9/27/2014,Assault 4th degree (minor injury)/m,No,Closed,310 South Limestone Rd,#N/A,#N/A,#N/A,#N/A
Theft,20142653,09/25/2014 - 8:00am,9/27/2014,"Tbut or Disp from Building $500 or more but u/$10,000/f",No,Open,121 Washington Ave,38.035446,-84.507298,38.035446,-84.507298
Alcohol Intoxication,20142655,09/27/2014 - 1:59am,9/27/2014,Alcohol Intox in a Public Place (1st & 2nd offense/v,No,Cleared By Arrest,1540 University Dr,38.023281,-84.506236,38.023281,-84.506236
Criminal Trespass,20142656,09/27/2014 - 8:15pm,9/27/2014,Criminal Trespassing-3rd Degree/v,No,Cleared By Arrest,310 South Limestone Rd,#N/A,#N/A,#N/A,#N/A
Assault,CSA20141429,09/27/2014 - 2:45pm,9/27/2014,Assault 4th/m,No,,1350 Bull Lea Road,#N/A,#N/A,#N/A,#N/A
Assault,CSA20141430,09/27/2014 - 9:50am,9/27/2014,Assault 4th/m,No,Closed - CSA,1350 Bull Lea Road,#N/A,#N/A,#N/A,#N/A
Assault,CSA20141431,09/27/2014 - 8:30am,9/27/2014,Assault 4th/m,No,Closed - CSA,1350 Bull Lea Road,#N/A,#N/A,#N/A,#N/A
Alcohol Intoxication,2014163620,09/27/2014 - 1:01pm,9/27/2014,"Alcohol Intox in a Public Place (1st & 2nd Offense/v, Person 18-20 poss/purch/att purch/have another purch alcohol/v, Criminal Poss of Forged Instr 2nd degree (identify/f",No,Closed - Lexington Police Report,University Ave & South Limestone,38.02904,-84.510358,38.029040,-84.510358
Assault,2014163609,09/27/2014 - 12:30pm,9/27/2014,Assault 4th (domestic Violence)-no visible injury/m,No,Closed - Lexington Police Report,Cooper Dr and University Dr,38.026341,-84.505988,38.026341,-84.505988
Assault,2014163763,09/27/2014 - 12:36pm,9/27/2014,Harassment-physical contact-no injury/m,No,Closed - Lexington Police Report,600 Cooper Dr,38.024644,-84.500063,38.024644,-84.500063
Liquor Law Violation,CSA20141420,09/25/2014 - 12:15am,9/26/2014,PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL X11,Yes,Closed - Disciplinary Referral,769 WOODLAND AVE,38.03108,-84.500905,38.031080,-84.500905
Theft,CSA20141421,09/25/2014 - 7:45pm,9/26/2014,TBUT FROM BUILDING,Yes,Closed - CSA,750 WOODLAND AVE,38.03108,-84.500851,38.031080,-84.500851
Alcohol Intoxication,20142639,09/26/2014 - 1:01am,9/26/2014,ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSES),No,Cleared By Arrest,310 SOUTH LIMESTONE ST,38.042101,-84.5007,38.042101,-84.500700
Drug Violations,20142640,09/26/2014 - 6:35am,9/26/2014,DRUG PARAPHERNALIA - BUY/POSSESS/M,No,Closed,310 SOUTH LIMESTONE ST,38.042101,-84.5007,38.042101,-84.500700
Theft,20142642,09/24/2014 - 8:30pm,9/26/2014,Tbut or Disp all Others u/$500/m,No,Closed,1300 Sports Center Dr,38.023358,-84.501622,38.023358,-84.501622
Theft,20142644,09/24/2014 - 8:00am,9/26/2014,"Tbut or Disp Contents from Vehicle $500 or more but u/$10,000/f",No,Open,110 Transcript Ave,38.031633,-84.509949,38.031633,-84.509949
Theft,20142645,09/24/2014 - 6:30pm,9/26/2014,Tbut or Disp Contents from Vehicle under $500/m,No,Closed,1540 University Dr,38.023281,-84.506236,38.023281,-84.506236
Assault,20142646,09/26/2014 - 6:12pm,9/26/2014,"Disorderly Conduct, 2nd degree/m, Fleeing or Evading Police, 2nd degree (on foot)/m, Assault 3rd Degree-Police Officer or Prob Officer/f",No,Open,Prall St and South Limestone,38.037721,-84.507256,38.037721,-84.507256
Assault,CSA20141432,09/26/2014 - 10:54pm,9/26/2014,Assault 4th/m,No,Closed - CSA,1350 Bull Lea Road,#N/A,#N/A,#N/A,#N/A
Assault,CSA20141433,09/26/2014 - 9:40pm,9/26/2014,Assault 4th/m,No,Closed - CSA,1350 Bull Lea Road,#N/A,#N/A,#N/A,#N/A
Assault,CSA20141434,09/26/2014 - 9:10pm,9/26/2014,Assault 4th/m,No,Closed - CSA,1350 Bull Lea Road,#N/A,#N/A,#N/A,#N/A
Assault,CSA20141435,09/26/2014 - 7:01pm,9/26/2014,Assault 4th/m,No,Closed - CSA,1350 Bull Lea Road,#N/A,#N/A,#N/A,#N/A
Terroristic Threatening,CSA20141436,09/26/2014 - 6:22pm,9/26/2014,Terroristic Threatening 3rd/m,No,Closed - CSA,1350 Bull Lea Road,#N/A,#N/A,#N/A,#N/A
Terroristic Threatening,CSA20141437,09/26/2014 - 5:30pm,9/26/2014,Terroristic Threatening 3rd/m,No,Closed - CSA,1350 Bull Lea Road,#N/A,#N/A,#N/A,#N/A
Assault,CSA20141438,09/26/2014 - 11:00am,9/26/2014,Assault 4th/m,No,Closed - CSA,1350 Bull Lea Road,#N/A,#N/A,#N/A,#N/A
Assault,CSA20141439,09/26/2014 - 7:45am,9/26/2014,Assault 4th/m,No,Closed - CSA,1350 Bull Lea Road,#N/A,#N/A,#N/A,#N/A
Terroristic Threatening,CSA20141440,09/26/2014 - 8:56am,9/26/2014,Terroristic Threatening 3rd/m,No,Closed - CSA,1350 Bull Lea Road,#N/A,#N/A,#N/A,#N/A
Terroristic Threatening,CSA20141445,09/26/2014 - 7:45am,9/26/2014,Terroristic Threatening 3rd/m,No,Closed - CSA,1350 Bull Lea Road,#N/A,#N/A,#N/A,#N/A
Criminal Mischief,CSA20141409,09/25/2014 - 2:09am,9/25/2014,CRIMINAL MISCHIEF,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802,38.084885,-84.497802
Terroristic Threatening,CSA20141410,09/25/2014 - 4:05am,9/25/2014,"TERRORISTIC THREATENING, MENACING",No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802,38.084885,-84.497802
Liquor Law Violation,CSA20141411,09/24/2014 - 10:40pm,9/25/2014,PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL X5,Yes,Closed - Disciplinary Referral,720 WOODLAND AVE,38.031287,-84.50057,38.031287,-84.500570
DUI,20142623,09/25/2014 - 12:11am,9/25/2014,"Disregarding Traffic Cont Dev-Traffic Light; Reckless Driving; Fleeing or Evading Police, 2nd Degree (Motor Vehicle); Drug Paraphernalia-Buy/Possess; Carrying a Concealed Weapon; Oper Mtr Veh U/Influ Alc/Drugs/Etc..08 (Agg Circum), 2nd Off",No,Cleared By Arrest,NICHOLASVILLE ROAD,37.993393,-84.522661,37.993393,-84.522661
Terroristic Threatening,CSA20141412,09/25/2014 - 9:30am,9/25/2014,TERRORISTIC THREATENING,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802,38.084885,-84.497802
Assault,CSA20141413,09/25/2014 - 11:40am,9/25/2014,ASSAULT,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802,38.084885,-84.497802
Assault,CSA20141414,09/25/2014 - 3:50pm,9/25/2014,ASSAULT,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802,38.084885,-84.497802
Terroristic Threatening,CSA20141415,09/25/2014 - 3:16pm,9/25/2014,"TERRORISTIC THREATENING, CRIMINAL MISCHIEF",No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802,38.084885,-84.497802
Assault,CSA20141416,09/25/2014 - 6:42pm,9/25/2014,ASSAULT,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802,38.084885,-84.497802
Terroristic Threatening,CSA20141417,09/25/2014 - 6:51pm,9/25/2014,TERRORISTIC THREATENING,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802,38.084885,-84.497802
Assault,CSA20141418,09/25/2014 - 8:20pm,9/25/2014,ASSAULT X2,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802,38.084885,-84.497802
Theft,20142630,10/15/2013 - 12:00am,9/25/2014,"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F",No,Open,751 ROSE ST,38.03261,-84.507579,38.032610,-84.507579
Drug Violations,20142636,09/25/2014 - 5:00pm,9/25/2014,"POSS OF MARIJUANA/M, DRUG PARAPHERNALIA - BUY/POSSESS/M",No,Closed - Disciplinary Referral,763 WOODLAND AVE,38.031112,-84.500862,38.031112,-84.500862
Drug Violations,20142637,09/25/2014 - 8:37pm,9/25/2014,POSS OF MARIJUANA/M,No,Closed,720 SPORTS CENTER DR,38.027044,-84.500178,38.027044,-84.500178
Theft,20142635,09/25/2014 - 4:19pm,9/25/2014,"TBUT OR DISP CONTENTS FROM VEHICLE UNDER $500/M, CRIMINAL MISCHIEF 3RD/M",No,Open,1540 UNIVERSITY DR,38.023281,-84.506236,38.023281,-84.506236
Burglary,2014161137,07/01/2014 - 6:00am,9/24/2014,BURGLARY 1ST/F,Yes,Closed - Lexington Police Report,633 MAXWELTON CT,#N/A,#N/A,#N/A,#N/A
Assault,CSA20141400,09/24/2014 - 5:55am,9/24/2014,ASSAULT X2,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802,38.084885,-84.497802
Terroristic Threatening,CSA20141401,09/24/2014 - 10:40am,9/24/2014,TERRORISTIC THREATENING,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802,38.084885,-84.497802
Terroristic Threatening,CSA20141402,09/24/2014 - 3:50pm,9/24/2014,TERRORISTIC THREATENING,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802,38.084885,-84.497802
Assault,CSA20141403,09/24/2014 - 6:52pm,9/24/2014,ASSAULT,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802,38.084885,-84.497802
Terroristic Threatening,CSA20141404,09/24/2014 - 3:20pm,9/24/2014,TERRORISTIC THREATENING,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802,38.084885,-84.497802
Assault,CSA20141405,09/24/2014 - 6:22pm,9/24/2014,ASSAULT X2,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802,38.084885,-84.497802
Terroristic Threatening,CSA20141406,09/24/2014 - 8:15pm,9/24/2014,TERRORISTIC THREATENING,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802,38.084885,-84.497802
Terroristic Threatening,CSA20141407,09/24/2014 - 9:15pm,9/24/2014,TERRORISTIC THREATENING,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802,38.084885,-84.497802
Terroristic Threatening,CSA20141408,09/24/2014 - 10:00pm,9/24/2014,TERRORISTIC THREATENING,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802,38.084885,-84.497802
Theft,20142612,09/09/2014 - 11:50am,9/24/2014,"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F",No,Open,675 ROSE STREET,#N/A,#N/A,#N/A,#N/A
Theft,20142614,09/24/2014 - 11:50am,9/24/2014,THEFT OF PROP MISLAID OR DELIVER BY MISTAKE/M,No,Closed,140 PATTERSON DRIVE,#N/A,#N/A,#N/A,#N/A
Theft,20142615,09/24/2014 - 6:40am,9/24/2014,"TBUT OR DISP CONTENTS FROM VEHICLE $500 OR MORE BUT U/$10,000/F",No,Closed,1540 UNIVERSITY DRIVE,#N/A,#N/A,#N/A,#N/A
Theft,20142616,09/24/2014 - 4:15pm,9/24/2014,TBUT OR DISP ALL OTHERS U/$500/M,No,Closed,504 ADMINISTRATION DRIVE,#N/A,#N/A,#N/A,#N/A
Theft,20142617,09/24/2014 - 3:40pm,9/24/2014,TBUT OR DISP FROM BUILDING U/$500/M,No,Closed,430 COMPLEX DRIVE,#N/A,#N/A,#N/A,#N/A
Theft,20142618,09/24/2014 - 1:30pm,9/24/2014,TBUT OR DISP FROM BUILDING; FRAUD USE OF CREDIT CARD,No,Open,1000 SOUTH LIMESTONE STREET,38.030065,-84.509419,38.030065,-84.509419
Criminal Trespass,20142619,09/24/2014 - 7:57pm,9/24/2014,CRIMINAL TRESPASSING 3RD,No,Cleared By Arrest,1000 SOUTH LIMESTONE STREET,38.030065,-84.509419,38.030065,-84.509419
Assault,20142620,09/24/2014 - 10:00pm,9/24/2014,"ASSAULT, 4TH DEGREE (NO VISIBLE INJURY)/M",No,Open,310 SOUTH LIMESTONE STREET,38.042101,-84.5007,38.042101,-84.500700
Criminal Trespass,20142622,09/24/2014 - 11:00pm,9/24/2014,CRIMINAL TRESPASSING 3RD DEGREE,No,Cleared By Arrest,310 SOUTH LIMESTONE STREET,38.042101,-84.5007,38.042101,-84.500700
Theft,CSA20141382,09/23/2014 - 9:05pm,9/23/2014,Tbut or Disp from Building u/$500/m,No,Closed - CSA,1350 Bull Lea Road,#N/A,#N/A,#N/A,#N/A
Assault,CSA20141381,09/23/2014 - 10:10pm,9/23/2014,Assault 4th/m,No,Closed - CSA,1350 Bull Lea Road,#N/A,#N/A,#N/A,#N/A
Liquor Law Violation,CSA20141385,09/19/2014 - 10:00pm,9/23/2014,Person 18-20 Poss Alcohol/v X7,No,Closed - CSA,330 Hilltop Ave,#N/A,#N/A,#N/A,#N/A
Liquor Law Violation,CSA20141386,09/20/2014 - 12:15am,9/23/2014,Person 18-20 Poss Alcohol/v X8,No,Closed - CSA,340 Hilltop Ave,38.032549,-84.503017,38.032549,-84.503017
Liquor Law Violation,CSA20141387,09/20/2014 - 2:10am,9/23/2014,Person 18-20 Poss Alcohol/v X4,No,Closed - CSA,330 Hilltop Ave,#N/A,#N/A,#N/A,#N/A
Liquor Law Violation,CSA20141388,09/19/2014 - 10:00pm,9/23/2014,Person 18-20 Poss Alcohol/v X7,No,Closed - CSA,767 Woodland Ave,38.031091,-84.500891,38.031091,-84.500891
Liquor Law Violation,CSA20141389,09/19/2014 - 8:30pm,9/23/2014,Person 18-20 Poss Alcohol/v X2,No,Closed - CSA,767 Woodland Ave,38.031091,-84.500891,38.031091,-84.500891
Liquor Law Violation,CSA20141390,09/20/2014 - 9:45pm,9/23/2014,Person 18-20 Poss Alcohol/v X12,No,Closed - CSA,340 Hilltop Ave,38.032549,-84.503017,38.032549,-84.503017
Liquor Law Violation,CSA20141391,09/18/2014 - 11:30pm,9/23/2014,Person 18-20 Poss Alcohol/v X2,No,Closed - CSA,752 Woodland Ave,38.031073,-84.50086,38.031073,-84.500860
Assault,CSA20141392,09/23/2014 - 9:35am,9/23/2014,Assault 4th/m,No,Closed - CSA,1350 Bull Lea Road,#N/A,#N/A,#N/A,#N/A
Assault,CSA20141393,09/23/2014 - 8:40am,9/23/2014,Assault 4th/m,No,Closed - CSA,1350 Bull Lea Road,#N/A,#N/A,#N/A,#N/A
Assault,CSA20141394,09/23/2014 - 8:40am,9/23/2014,ASSAULT,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802,38.084885,-84.497802
Assault,CSA20141395,09/23/2014 - 10:02am,9/23/2014,"ASSAULT, TERRORISTIC THREATENING",No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802,38.084885,-84.497802
Assault,CSA20141396,09/23/2014 - 12:40pm,9/23/2014,ASSAULT,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802,38.084885,-84.497802
Assault,CSA20141397,09/23/2014 - 1:05pm,9/23/2014,ASSAULT,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802,38.084885,-84.497802
Assault,CSA20141398,09/23/2014 - 7:05pm,9/23/2014,ASSAULT,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802,38.084885,-84.497802
Liquor Law Violation,CSA20141399,09/23/2014 - 1:30pm,9/23/2014,PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL X2,Yes,Closed - CSA,325 HUGUELET DR,38.031734,-84.504161,38.031734,-84.504161
Theft,20142603,09/20/2014 - 8:00pm,9/23/2014,TBUT OR DISP SHOPLIFTING U/$500/M,No,Citation issued,800 ROSE STREET,#N/A,#N/A,#N/A,#N/A
Terroristic Threatening,20142606,09/22/2014 - 7:00pm,9/23/2014,"TERRORISTIC THREATENING, 3RD/M",No,Closed,800 ROSE STREET,#N/A,#N/A,#N/A,#N/A
Theft,20142607,09/23/2014 - 9:30pm,9/23/2014,"TBUT OR DISP BICYCLES $500 OR MORE BUT U/$10,000/F",No,Closed,430 COMPLEX DRIVE,#N/A,#N/A,#N/A,#N/A
Harassing Communications,20142608,09/22/2014 - 12:00am,9/23/2014,HARASSING COMMUNICATIONS/M,Yes,Open,650 WOODLAND AVENUE,#N/A,#N/A,#N/A,#N/A
Terroristic Threatening,CSA20141366,09/22/2014 - 2:30am,9/22/2014,Terroristic Threatening 3rd/m,No,Closed - CSA,1350 Bull Lea Road,#N/A,#N/A,#N/A,#N/A
Drug Violations,2014155556,09/14/2014 - 2:40am,9/22/2014,"Alcohol Intox in a Public Place (1st & 2nd offense/m, Poss of Marijuana/m",No,Cleared By Arrest,333 South Limestone St,#N/A,#N/A,#N/A,#N/A
Theft,20142591,09/21/2014 - 6:00pm,9/22/2014,"Tbut or Disp Bicycles u/$500/m, Criminal Mischief 3rd/m",No,Closed,508 Columbia Ave,38.031821,-84.498497,38.031821,-84.498497
Theft,20142593,09/12/2014 - 6:00pm,9/22/2014,Tbut or Disp Bicycles u/$500/m,No,Closed,741 South Limestone,#N/A,#N/A,#N/A,#N/A
Theft,20142596,09/22/2014 - 5:40pm,9/22/2014,Tbut or Disp Bicycles u/$500/m,No,Open,430 COMPLEX DR,38.029363,-84.505258,38.029363,-84.505258
Theft,20142597,09/16/2014 - 12:00pm,9/22/2014,Tbut or Disp Bicycles u/$500/m,No,Closed,150 Patterson Dr,38.038142,-84.503058,38.038142,-84.503058
Theft,20142599,09/21/2014 - 11:00pm,9/22/2014,"Tbut or Disp Bicycles $500 or more but u/$10,000/f, Criminal Mischief 3rd/m",No,Open,508 Columbia Ave,38.031821,-84.498497,38.031821,-84.498497
Theft,2014160406,09/13/2014 - 2:56pm,9/22/2014,Theft of Motor Vehicle Registration Plate/f,No,Closed - Lexington Police Report,235 East Maxwell St,#N/A,#N/A,#N/A,#N/A
Terroristic Threatening,CSA20141384,09/22/2014 - 3:14pm,9/22/2014,Terroristic Threatening 3/m,No,Closed - CSA,1350 Bull Lea Road,#N/A,#N/A,#N/A,#N/A
Assault,CSA20141383,09/22/2014 - 6:45pm,9/22/2014,Assault 4th/m,No,Closed - CSA,1350 Bull Lea Road,#N/A,#N/A,#N/A,#N/A
Alcohol Intoxication,20142581,09/21/2014 - 8:20am,9/21/2014,"Alcohol intox in a public place (1st & 2nd offense/v, Criminal Mischief 3rd/m",No,Cleared By Arrest,310 South Limestone Rd,#N/A,#N/A,#N/A,#N/A
Alcohol Intoxication,20142582,09/21/2014 - 2:41am,9/21/2014,"Alcohol Intox in a Public Place (1st & 2nd offense/v, Resisting Arrest/m",No,Cleared By Arrest,310 South Limestone Rd,#N/A,#N/A,#N/A,#N/A
DUI,20142584,09/21/2014 - 3:00am,9/21/2014,"Disregarding Traffic Cont Dev-Traffic light/v, Oper Mtr Vehicle u/influence Alc/Drugs/Etc. .08-1st off/m",No,Cleared By Arrest,195 Hospital Dr,38.0316,-84.508214,38.031600,-84.508214
Theft,20142585,09/20/2014 - 2:30pm,9/21/2014,Tbut or Disp contents from vehicle under $500/m,No,Closed,1540 University Dr,38.023281,-84.506236,38.023281,-84.506236
Assault,CSA20141367,09/21/2014 - 3:15pm,9/21/2014,Assault 4th/m,No,Closed - CSA,1350 Bull Lea Road,#N/A,#N/A,#N/A,#N/A
Assault,CSA20141368,09/21/2014 - 9:50am,9/21/2014,Assault 4th/m,No,Closed - CSA,1350 Bull Lea Road,#N/A,#N/A,#N/A,#N/A
Assault,CSA20141369,09/21/2014 - 8:46am,9/21/2014,Assault 4th/m,No,Closed - CSA,1350 Bull Lea Road,#N/A,#N/A,#N/A,#N/A
Assault,CSA20141370,09/21/2014 - 8:50pm,9/21/2014,Assault 4th/m,No,Closed - CSA,1350 Bull Lea Road,#N/A,#N/A,#N/A,#N/A
Assault,CSA20141371,09/21/2014 - 7:50pm,9/21/2014,Assault 4th/m,No,Closed - CSA,1350 Bull Lea Road,#N/A,#N/A,#N/A,#N/A
All Other Offenses,2014159773,09/20/2014 - 8:30am,9/21/2014,Unauthorized use of Motor Vehicle-1st/m,No,Closed - Lexington Police Report,201 Avenue of Champions,38.039567,-84.501706,38.039567,-84.501706
Assault,2014159621,09/21/2014 - 12:05am,9/21/2014,Assault 1st Degree/F.,No,Closed - Lexington Police Report,845 Red Mile Rd,38.043891,-84.525186,38.043891,-84.525186
Alcohol Intoxication,20142568,09/20/2014 - 1:37am,9/20/2014,Alcohol Intox in a Public Place (1st & 2nd offense/v.,No,Cleared By Arrest,338 Lexington Ave,38.040647,-84.500217,38.040647,-84.500217
Alcohol Intoxication,20142569,09/20/2014 - 2:34am,9/20/2014,Alcohol Intox in a public Place (1st and 2nd offense/v,No,Cleared By Arrest,Huguelet Dr and South Limestone,38.034917,-84.508334,38.034917,-84.508334
DUI,20142570,09/20/2014 - 2:15am,9/20/2014,"Vehicle a Nuisance, Noisy, ETC/v, Oper Mtr Vehicle u/influ Alc/Drugs/Etc. .08 (agg circum) 1st/m",No,Cleared By Arrest,140 Huguelet Dr,38.033138,-84.505823,38.033138,-84.505823
All Other Offenses,20142572,09/06/2014 - 8:00am,9/20/2014,Fraud use Cred Card u/$500 w/6 month period/m,No,Closed,404 Administration Dr,38.03902,-84.505081,38.039020,-84.505081
Alcohol Intoxication,201430281,09/20/2014 - 12:19am,9/20/2014,Alcohol Intoxication/v,No,Closed - Disciplinary Referral,758 Woodland Ave,38.029441,-84.502532,38.029441,-84.502532
Alcohol Intoxication,201430299,09/20/2014 - 2:11am,9/20/2014,Alcohol Intoxication/v X2,No,Closed - Disciplinary Referral,125 Maxwell St,#N/A,#N/A,#N/A,#N/A
Assault,CSA20141372,09/20/2014 - 6:43pm,9/20/2014,Assault 4th/m,No,Closed - CSA,1350 Bull Lea Road,#N/A,#N/A,#N/A,#N/A
Assault,CSA20141373,09/20/2014 - 11:05am,9/20/2014,Assault 4th/m,No,Closed - CSA,1350 Bull Lea Road,#N/A,#N/A,#N/A,#N/A
Assault,CSA20141374,09/20/2014 - 9:41am,9/20/2014,Assault 4th/m,No,Closed - CSA,1350 Bull Lea Road,#N/A,#N/A,#N/A,#N/A
Alcohol Intoxication,20142556,09/19/2014 - 11:09pm,9/19/2014,"ALCOHOL INTOXICATION IN A PUB PLACE 3RD OR > OFF IN 12 MONTHS/M, DISORDERLY CONDUCT 2ND/M, CRIMINAL TRESPASSING 3RD",No,Cleared By Arrest,1000 SOUTH LIMESTONE ST,38.030065,-84.509419,38.030065,-84.509419
DUI,20142557,09/19/2014 - 3:11am,9/19/2014,"RECKLESS DRIVING, POSS OF OPEN ALC BEVERAGE CONT IN MOTOR VEH PROHIBITED, OPER MTR VEHICLE U/INFLU ALC/DRUGS/ETC .08 (AGG CIRCUM) 1ST OFF/M",No,Cleared By Arrest,SOUTH LIMESTONE ST & VIRGINIA AVE,38.034917,-84.508334,38.034917,-84.508334
Alcohol Intoxication,201430175,09/19/2014 - 12:46am,9/19/2014,ALCOHOL INTOXICATION IN A PUBLIC PLACE,Yes,Closed - Disciplinary Referral,758 WOODLAND AVE,38.029441,-84.502532,38.029441,-84.502532
Alcohol Intoxication,201430180,09/19/2014 - 2:05am,9/19/2014,ALCOHOL INTOXICATION IN A PUBLIC PLACE X2,Yes,Closed - Disciplinary Referral,344 S MLK BLVD,#N/A,#N/A,#N/A,#N/A
